dataset,sample,has_gt,before_network_psnr,before_network_ssim,before_network_noise_est,before_network_sharpness,after_network_psnr,after_network_ssim,after_network_noise_est,after_network_sharpness,baseline_gaussian_psnr,baseline_gaussian_ssim,baseline_gaussian_noise_est,baseline_gaussian_sharpness,baseline_nlm_psnr,baseline_nlm_ssim,baseline_nlm_noise_est,baseline_nlm_sharpness,baseline_bm3d_psnr,baseline_bm3d_ssim,baseline_bm3d_noise_est,baseline_bm3d_sharpness
FMD,TwoPhoton_MICE_1,True,24.277920245068575,0.3404132427829092,,,32.90598079608807,0.9206099206267784,,,31.002291534316786,0.8709946063210254,,,28.105419069272465,0.8539382162885318,,,32.65726004091852,0.9238073323861,,
FMD,TwoPhoton_MICE_2,True,24.9128512057159,0.35450270501746933,,,34.869983777463915,0.9234587247030218,,,32.19113880357671,0.8769909500570925,,,29.202659869565917,0.8693673961136372,,,34.71295979141648,0.9249567236537918,,
FMD,TwoPhoton_MICE_3,True,24.942297153442784,0.3472071108628489,,,34.18048967584897,0.9187725255125445,,,31.871199556477393,0.8723568954581217,,,29.627056994004334,0.8666203745509727,,,34.88053216949777,0.9223808669098851,,
FMD,TwoPhoton_MICE_4,True,25.188474643762117,0.36108700338442934,,,34.268968207027044,0.9197078140745333,,,31.906532568580182,0.8755587426188153,,,29.64387170642894,0.8750432760414565,,,34.34237153306906,0.9201294278373693,,
FMD,WideField_BPAE_B_1,True,25.576393006445002,0.3620432717018443,,,33.41111575569129,0.9196944557273846,,,31.540667790225516,0.7487306695415145,,,32.47943578971427,0.8141752547753347,,,33.10317352053123,0.8441044077497759,,
FMD,WideField_BPAE_B_2,True,25.576393006445002,0.3620432717018443,,,33.41111575569129,0.9196944557273846,,,31.540667790225516,0.7487306695415145,,,32.47943578971427,0.8141752547753347,,,33.10317039709621,0.8441045512024463,,
FMD,WideField_BPAE_B_3,True,25.596761738617353,0.36437958642450397,,,34.38959764200065,0.9184074298686903,,,31.461295184959145,0.7516712775278098,,,32.38526861362015,0.8198392082668725,,,33.07512939022595,0.8499514030565056,,
FMD,WideField_BPAE_B_4,True,25.391826035583733,0.36545541799553755,,,34.82732519971828,0.9180654579497953,,,30.766102403875855,0.7523153428037618,,,31.45948784528134,0.8187701185639475,,,32.13039231560623,0.8474652102983864,,
FMD,WideField_BPAE_G_1,True,23.76385874163642,0.33864343818870285,,,32.37632033625849,0.80903981482482,,,31.15853719405754,0.7432233855789768,,,27.664345595338638,0.576003689484722,,,31.262396563462275,0.7565313423092757,,
FMD,WideField_BPAE_G_2,True,23.746596714820946,0.3362423253659378,,,31.818317317001533,0.805414863345335,,,31.032172334296515,0.7396065825054622,,,27.641355580684078,0.5752891335594205,,,31.05285223934831,0.7522550140887481,,
FMD,WideField_BPAE_G_3,True,23.72597734721476,0.3355679874813961,,,32.284252771327345,0.8070333006014198,,,31.02265390476575,0.7394067903970566,,,27.603375071680766,0.5726865738127704,,,31.122969445302445,0.7523380152498018,,
FMD,WideField_BPAE_G_4,True,23.77452234955632,0.33701332817669993,,,31.86018310554022,0.8052154245104264,,,31.126760026928466,0.7413727296594073,,,27.69621884845058,0.5763781127959403,,,31.180108977157083,0.7548278630838391,,
FMD,WideField_BPAE_R_1,True,26.198483025787244,0.39766675022102077,,,35.075801433962575,0.9065202316644937,,,31.909751877668583,0.7714231910372313,,,33.09117269615955,0.8377679985108322,,,33.129515619787576,0.8524783050824476,,
FMD,WideField_BPAE_R_2,True,26.202884303334866,0.3959387425510794,,,34.54229133495501,0.9027053201218866,,,31.76533095128814,0.7666403162834566,,,32.986619110046846,0.8359410012743957,,,32.91037662662315,0.8471968666981781,,
FMD,WideField_BPAE_R_3,True,26.19119084883033,0.3967502239629303,,,34.97534706854673,0.9049919542881174,,,31.827679969976828,0.7687700985088116,,,33.04129093893441,0.8359049124757278,,,33.03206454830732,0.8487674528291732,,
FMD,WideField_BPAE_R_4,True,26.19519334704107,0.39788375962886174,,,34.81690432500885,0.9042661363354211,,,31.748457393748314,0.7686793053723859,,,32.929572841131545,0.8370925412359703,,,32.88788992602337,0.8491640810664569,,
US,M1_full_0000,False,,,20.756115641215715,8036.299575805664,,,1.4825796886582654,2328.331657409668,,,2.965159377316531,2190.017219543457,,,2.965159377316531,4673.3850021362305,,,2.965159377316531,3821.572380065918
US,M1_full_0001,False,,,20.756115641215715,7334.582626342773,,,1.4825796886582654,1972.600082397461,,,2.965159377316531,1923.795509338379,,,2.965159377316531,4010.04345703125,,,2.965159377316531,3290.6730194091797
US,M1_full_0002,False,,,19.27353595255745,6554.796531677246,,,1.4825796886582654,1579.5293350219727,,,2.965159377316531,1637.0684280395508,,,2.965159377316531,3297.5580673217773,,,2.965159377316531,2699.445625305176
US,M1_full_0003,False,,,19.27353595255745,6113.4046630859375,,,1.4825796886582654,1387.9263534545898,,,2.965159377316531,1474.6733703613281,,,2.965159377316531,2885.7403869628906,,,1.4825796886582654,2356.4860229492188
US,M1_full_0004,False,,,19.27353595255745,5768.469627380371,,,1.4825796886582654,1238.0580368041992,,,2.965159377316531,1336.8045272827148,,,2.965159377316531,2592.282211303711,,,1.4825796886582654,2139.802993774414
US,M1_full_0005,False,,,19.27353595255745,5636.983024597168,,,1.4825796886582654,1153.0041427612305,,,2.965159377316531,1290.9983367919922,,,2.965159377316531,2478.7025451660156,,,1.4825796886582654,2015.3600997924805
US,M1_full_0006,False,,,19.27353595255745,5777.292610168457,,,1.4825796886582654,1258.319320678711,,,2.965159377316531,1369.3181381225586,,,2.965159377316531,2657.9427947998047,,,1.4825796886582654,2145.2844848632812
US,M1_full_0007,False,,,19.27353595255745,5714.659065246582,,,1.4825796886582654,1252.0289611816406,,,2.965159377316531,1374.8131484985352,,,2.965159377316531,2587.420608520508,,,1.4825796886582654,2123.3620681762695
US,M1_full_0008,False,,,19.27353595255745,5727.7255935668945,,,1.4825796886582654,1254.7639389038086,,,2.965159377316531,1368.6932907104492,,,2.965159377316531,2632.2845458984375,,,1.4825796886582654,2145.188117980957
US,M1_full_0009,False,,,19.27353595255745,5644.61262512207,,,1.4825796886582654,1264.2903442382812,,,2.965159377316531,1358.762435913086,,,2.965159377316531,2570.8290786743164,,,1.4825796886582654,2080.1843338012695
US,M1_full_0010,False,,,19.27353595255745,5928.631652832031,,,1.4825796886582654,1415.7991256713867,,,2.965159377316531,1466.132957458496,,,2.965159377316531,2841.538719177246,,,1.4825796886582654,2343.43896484375
US,M1_full_0011,False,,,19.27353595255745,5869.71142578125,,,1.4825796886582654,1401.091209411621,,,2.965159377316531,1456.9162521362305,,,2.965159377316531,2781.7204208374023,,,1.4825796886582654,2267.4382858276367
US,M1_full_0012,False,,,19.27353595255745,6053.627265930176,,,1.4825796886582654,1463.176399230957,,,2.965159377316531,1514.3927917480469,,,2.965159377316531,2941.561981201172,,,1.4825796886582654,2397.6005630493164
US,M1_full_0013,False,,,19.27353595255745,5995.458351135254,,,1.4825796886582654,1445.6152801513672,,,2.965159377316531,1486.3301544189453,,,2.965159377316531,2895.8171997070312,,,1.4825796886582654,2345.3407135009766
US,M1_full_0014,False,,,19.27353595255745,6129.35139465332,,,1.4825796886582654,1471.7147827148438,,,2.965159377316531,1509.1084060668945,,,2.965159377316531,3013.785758972168,,,1.4825796886582654,2449.50821685791
US,M1_full_0015,False,,,19.27353595255745,6185.108169555664,,,1.4825796886582654,1492.6884460449219,,,2.965159377316531,1518.2157592773438,,,2.965159377316531,3035.661666870117,,,1.4825796886582654,2477.5212020874023
US,M1_full_0016,False,,,19.27353595255745,6190.848892211914,,,1.4825796886582654,1503.7587280273438,,,2.965159377316531,1510.3731231689453,,,2.965159377316531,3039.9145889282227,,,1.4825796886582654,2487.3211364746094
US,M1_full_0017,False,,,19.27353595255745,6312.6927490234375,,,1.4825796886582654,1574.9012908935547,,,2.965159377316531,1580.486213684082,,,2.965159377316531,3169.4116287231445,,,1.4825796886582654,2623.146629333496
